Entry,Accession,Biomass.Yield.dry.weight.2016,Biomass.Yield.dry.weight.2017,Biomass.Yield.dry.weight.2018
KMS394,KMS394,959,1299.65,834
M. sacchariflorus 'Bluemel'-UI10-00117,UI10-00117,816,1404.25,1096
RU2012-189,RU2012-189,56.61,311.4,560
RU2012-215,RU2012-215,64.5,72.05,598.5
RU2012-183,RU2012-183,124,356.25,640
JPN-2011-010,JPN-2011-010,NA,NA,NA
JPN-2010-004,JPN-2010-004,2277,1496,1932
KMS253,KMS253,1216,1624.4,685
KMS369,KMS369,1380,1202.8,1386
JPN-2010-006,JPN-2010-006,553.5,949.75,1632
KMS346,KMS346,756,1386.75,1441
JY274,JY274,276,686,1242
KMS423,KMS423,698.5,1408.25,6600
JM2014-H-3,JM2014-H-3,124,261.24,768
JY166,JY166,NA,NA,NA
JY138,JY138,3510,1914,67
PMS-071,PMS-071,1104,1330,840
JY270,JY270,NA,NA,NA
KMS309,KMS309,1016,645,1161
JY291,JY291,NA,NA,NA
RU2012-140,RU2012-140,60.2,71.5,71.5
KMS380,KMS380,1176,1794,1200
RU2012-110,RU2012-110,137.6,837.6,1190
KMS437,KMS437,NA,NA,NA
JPN-2010-011,JPN-2010-011,NA,NA,NA
JY137,JY137,NA,NA,NA
JY053,JY053,NA,NA,NA
JY140,JY140,1230,641.9,660
JY168,JY168,1242,872.5,420
JY278,JY278,272,1014.7,1181.5
JY025,JY025,NA,NA,NA
JY248,JY248,115.01,400.4,248
JY195,JY195,618,708.4,1235
JY066,JY066,NA,NA,NA
JMKikuchi 1(N24),JMKikuchi 1(N24),3382.5,2220.2,1276.8
KMS269,KMS269,1400,1223.88,1220.4
JY027,JY027,3870,1945.4,1700
JY159,JY159,157.44,1302,1230
RU2012-014,RU2012-014,68.05,1226.72,1235
JY234,JY234,NA,NA,NA
RU2012-209,RU2012-209,27.12,275.2,1242
JPN-2010-008,JPN-2010-008,1107,1290,715
KMS459,KMS459,NA,NA,NA
JM2014-H-29,JM2014-H-29,116.4,612,1302
JPN-2010-001,JPN-2010-001,2206.8,1964.8,496
RU2012-113,RU2012-113,33.15,3240,1088
JY107,JY107,1417.5,690,240.8
JM2014-H-6,JM2014-H-6,245.6,279.2,1529
M. sacchariflorus 'Golf Course 4x'-UI11-00007,UI11-00007,2720,2055,980
JM2014-K-4,JM2014-K-4,3325,1986,1496
JM2014-K-5,JM2014-K-5,373.2,2286,2286
JM2014-H-23,JM2014-H-23,587.7,1304,1495
JM2014-H-10,JM2014-H-10,2055,680,1233
JM2014-M-11,JM2014-M-11,1736,1250,1024
JM2014-S-1,JM2014-S-1,1411.2,1644,759
JM2014-M-5,JM2014-M-5,1620,1318,1188
JY016,JY016,131.1,1668,1330
RU2012-196,RU2012-196,16.61,992,1798
JM2014-H-49,JM2014-H-49,79.56,548,1380
RU2012-095,RU2012-095,195,396,982.5
RU2012-208,RU2012-208,1023,698,1260
JY020,JY020,NA,NA,NA
JY028,JY028,1660,2700,2144
JY021,JY021,922.5,3125,3062.4
JY085,JY085,330,122.36,3234
JM2014-M-2,JM2014-M-2,59.2,172.76,1736
RU2012-152,RU2012-152,112.9,119.6,1200
JM2014-H-47,JM2014-H-47,63.5,642,1452
KMS361,KMS361,827.5612505,1024.399906,1534.858188
RU2012-214,RU2012-214,332.9685616,393.6821601,410.1751904
JY302,JY302,1307.712975,1920.198084,2509.400513
RU2012-035,RU2012-035,NA,NA,NA
JM11-019,JM11-019,1244.708504,2301.185591,2850.114185
RU2012-137,RU2012-137,NA,NA,NA
JM2014-M-4,JM2014-M-4,1111.439842,1502.100356,2727.122024
RU2012-199,RU2012-199,63.28552803,250.0474837,415.1245351
RU2012-028,RU2012-028,NA,NA,NA
JPN-2010-006,JPN-2010-006,958.0116279,635.3466864,1910.020439
JY062,JY062,3297.995256,3930.091639,4759.257391
JY269,JY269,10.41,118.461411,251.5261473
RU2012-098,RU2012-098,137.6193507,280.9529422,292.9242164
JM2014-H-22,JM2014-H-22,183.395189,765.590304,1446.809708
RU2012-020,RU2012-020,1.41,0.93,15.47
KMS449,KMS449,1005.283823,1111.867249,2736.310898
RU2012-082,RU2012-082,NA,155.0553533,961.0178136
JY129,JY129,2310.818657,1638.782284,3013.665684
JY175,JY175,2312.926829,2659.031753,3670.088309
JY256,JY256,NA,NA,NA
RU2012-030,RU2012-030,35.45,85.64609665,85.3059296
KMS332,KMS332,1182.140464,895.8773666,2957.719436
RU2012-084,RU2012-084,14.45,32.78908547,84.30324624
JY252,JY252,32.95,318.6948177,339.8245614
RU2012-046,RU2012-046,6.83,46.94,101.9023923
JY065,JY065,5126.518794,5613.71,7232.821456
JY288,JY288,674.8557507,1088.650524,2463.957696
KMS309,KMS309,518.1764629,600.1913685,2126.142565
JY182,JY182,2425.477767,2023.891873,2745.514887
JY228,JY228,17.51,84.8,250.9033028
RU2012-202,RU2012-202,163.311395,282.9796489,221.4436816
JY088,JY088,6738.574553,7939.093323,6524.721879
JM2014-H-63,JM2014-H-63,256.3518626,371.4581378,365.7654555
RU2012-154,RU2012-154,NA,NA,NA
RU2012-016,RU2012-016,NA,NA,NA
KMS253,KMS253,1305.246818,1345.197067,3523.643981
RU2012-059,RU2012-059,1.8,NA,NA
JY107,JY107,4768.094517,5567.78806,5940.045249
RU2012-025,RU2012-025,2.62,6.63,62.254883
JY094,JY094,7588.098117,9552.63484,13290.02759
RU2012-076,RU2012-076,8.17,29.39,161.094953
JY172,JY172,1693.489976,1818.795503,2917.177743
JY039,JY039,3239.034963,3446.800257,5441.588396
KMS459,KMS459,458.8322291,1096.386786,1808.806262
RU2012-085,RU2012-085,4595.60108,5481.010381,7329.238089
JY009,JY009,3923.162245,3572.104542,6947.310195
KMS326,KMS326,582.1749817,746.5312215,1338.033088
RU2012-027,RU2012-027,25.06,128.6035485,156.5321477
JPN-2010-005,JPN-2010-005,1033.301421,434.815447,251.1076733
KMS430,KMS430,2443.535703,2080.294159,3337.398851
JY234,JY234,834.0694759,206.2856344,207.8287806
JPN-2011-012,JPN-2011-012,1100.811111,740.629119,2448.387097
RU2012-055,RU2012-055,160.874973,467.9133155,567.8490566
KMS263,KMS263,158.9044228,699.1394086,829.9133607
KMS291,KMS291,1173.10835,574.2904042,1771.784167
JY185,JY185,283.0123927,709.6231505,1223.138474
JY224,JY224,181.0578593,294.501777,134.2853714
JM2014-H-6,JM2014-H-6,812.6773824,321.4942906,283.488839
JM2014-H-19,JM2014-H-19,346.7740501,398.5357937,171.3301921
RU2012-014,RU2012-014,10.27,205.8384601,202.1416762
KMS448,KMS448,1451.588421,1371.516711,1737.12222
JPN-2010-015,JPN-2010-015,2466.209463,1399.899333,2052.465103
JY134,JY134,1231.200097,2420.334903,3007.119741
JY276,JY276,250.5102659,422.0444511,369.1278817
RU2012-049,RU2012-049,NA,0.82,5.07
JM2014-H-62,JM2014-H-62,NA,218.1323454,484.4420601
RU2012-153,RU2012-153,280.9982899,178.4856628,27.02
KMS464,KMS464,920.2116315,1551.029532,2698.129543
JPN-2011-022,JPN-2011-022,2061.078835,3533.890818,3588.701023
KMS262,KMS262,1629.756817,1227.166042,3397.63878
JY298,JY298,NA,2.8,48.53584447
JY166,JY166,1833.674067,4561.99258,6620.678367
RU2012-114,RU2012-114,836.6377409,2079.665361,4406.701257
JPN-2011-018,JPN-2011-018,1774.459928,1937.019672,3455.666144
JY026,JY026,884.4727346,2639.369247,3079.392625
KMS390,KMS390,709.6479865,838.2043876,2944.168297
KMS436,KMS436,2960.312665,1022.37675,3268.158035
RU2012-207,RU2012-207,17.86,110.1849167,233.9106145
JMMiyakonojo (FSC),JMMiyakonojo (FSC),4656.861861,4129.007333,7390.320922
KMS328,KMS328,1107.585863,1156.713507,3324.74701
RU2012-118,RU2012-118,4.12,122.1996426,48.32650673
JM11-027-1,JM11-027-1,2239.508975,523.5671342,1543.803844
JY164,JY164,212.584861,638.0179732,1168.460034
RU2012-082,RU2012-082,NA,NA,NA
JY057,JY057,5259.49726,6155.723268,3336.242926
UI11-00039,UI11-00039,2533.952975,3277.095861,8713.292117
JM2014-H-44,JM2014-H-44,564.3801351,430.1442927,603.8831886
JPN-2010-001,JPN-2010-001,764.5830024,752.5807338,1258.437082
RU2012-081,RU2012-081,136.6467391,208.5925815,176.6570605
JY159,JY159,1109.80664,1305.010569,2586.971135
JY169,JY169,209.5260279,335.6918934,1129.61237
RU2012-052,RU2012-052,NA,NA,NA
UI11-00033,UI11-00033,2168.887613,1770.303369,3493.826755
RU2012-019,RU2012-019,NA,NA,NA
RU2012-182,RU2012-182,68.20606897,180.2396992,129.3759513
JPN-2011-016,JPN-2011-016,1312.558967,865.9488107,2659.703243
JY277,JY277,291.3185823,355.8852469,499.6917006
JM11-006,JM11-006,3157.28523,4229.309914,4272.575129
JY136,JY136,741.6070961,1286.619146,1741.347946
JM2014-H-69,JM2014-H-69,1218.067152,310.1562746,823.1497649
JY189,JY189,140.6387368,458.9104653,862.5929182
JY080,JY080,5591.709228,7417.798424,7070.918807
JM2014-M-9,JM2014-M-9,1307.114822,77.72,2071.501586
KMS380,KMS380,1386.034008,1924.68672,4335.395057
KMS349,KMS349,887.0652395,1429.006231,2589.667505
PMS-074,PMS-074,176.6937921,774.8786247,347.432878
RU2012-061,RU2012-061,11.73,22.31,62.30663195
JM2014-M-14,JM2014-M-14,1232.96376,913.3523477,1256.364788
PMS-075,PMS-075,490.9026816,890.1632491,2406.621622
KMS342,KMS342,1002.962462,411.0015948,2576.96862
JY273,JY273,355.2190556,668.7457877,1554.62044
JPN-2011-008,JPN-2011-008,845.8721192,715.5552446,1755.330709
JM2014-K-11,JM2014-K-11,2552.73718,3250.705843,3222.089552
JPN-2011-002,JPN-2011-002,2320.620951,1462.035855,3836.142643
RU2012-179,RU2012-179,215.6917127,442.832124,212.8523441
JY144,JY144,1400.431709,944.8675436,2429.996437
JM2014-M-1,JM2014-M-1,1656.818965,1026.790345,2857.371726
JY037,JY037,6364.586588,5324.911965,6883.519496
KMS413,KMS413,1416.54184,1930.100776,3744.52605
RU2012-215,RU2012-215,28.34,261.6161214,318.2345361
RU2012-023,RU2012-023,230.8245954,466.1303694,928.7555228
JY052,JY052,1500.625818,1516.807466,2117.485265
JY046,JY046,6531.593667,4877.618907,5961.492119
JY093,JY093,4842.611582,5119.074321,5452.367912
JY270,JY270,131.6822356,253.2852203,247.3759406
RU2012-175,RU2012-175,31.81,166.3321713,177.7149075
JY158,JY158,746.7493579,1108.523783,2039.332769
KMS427,KMS427,1994.014429,2479.616953,2863.716252
RU2012-044,RU2012-044,NA,NA,NA
KMS272,KMS272,785.465967,524.1784436,1108.491294
KMS324,KMS324,1552.951739,3868.523736,3596.35935
KMS315,KMS315,217.7397786,397.1460702,682.9593412
RU2012-110,RU2012-110,NA,NA,NA
KMS319,KMS319,920.6929557,809.1997862,1484.350991
JY235,JY235,NA,13.16,45.10993177
KMS308,KMS308,481.4760649,493.6695569,1549.489675
RU2012-149,RU2012-149,4.74,22.96,66.40764849
JY072,JY072,4316.489868,5635.162993,6398.417248
KMS340,KMS340,666.2990561,566.3224282,1992.421283
JY140,JY140,1168.377135,796.1655652,1786.33709
JPN-2011-020,JPN-2011-020,1157.57275,441.5655557,2165.326992
JM2014-M-10,JM2014-M-10,619.7110423,326.5842078,855.0236008
JY220,JY220,124.3611966,598.6312917,794.7733711
RU2012-183,RU2012-183,120.9255285,125.8517938,112.8542094
JM11-006,JM11-006,1988.936993,1456.317327,2233.478894
JY263,JY263,5.06,82.61678764,61.96303046
JY044,JY044,4762.35036,5777.789399,7946.433848
RU2012-034,RU2012-034,106.9076149,159.5224743,73.63451213
JY092,JY092,5146.828706,7079.999889,7874.441351
JY032,JY032,5864.983732,4990.029163,5646.196734
KMS393,KMS393,2047.856541,2019.796431,2731.466877
KMS447,KMS447,1847.621119,1260.933062,2956.39967
JM2014-H-2,JM2014-H-2,712.420272,447.5990904,516.4934748
JY176,JY176,1154.212676,896.627557,2478.314607
JM2014-H-25,JM2014-H-25,325.4292163,380.4869252,750.291011
RU2012-017,RU2012-017,6.31,28.55,60.46878241
JY120,JY120,719.4115437,2366.979,3491.545012
RU2012-058,RU2012-058,NA,157.9335167,1202.509484
KMS371,KMS371,480.8816126,4287.002936,700.1493395
KMS383,KMS383,326.6220996,528.7906627,836.6186492
JY208,JY208,46.44,104.6381969,389.0829361
JY111,JY111,4562.368535,3945.171646,4844.436726
KMS378,KMS378,313.7520471,416.6964901,1172.285419
JY127,JY127,1898.206597,2401.604707,2760.201593
KMS446,KMS446,993.0971986,1367.01139,1797.861413
JM2014-H-58,JM2014-H-58,264.5955195,274.9805476,483.1493745
JM2014-H-8,JM2014-H-8,260.2117359,472.5158348,260.6108374
JM2014-H-14,JM2014-H-14,195.7209654,541.7747707,1525.339164
RU2012-212,RU2012-212,32.1,324.000082,320.70626
KMS377,KMS377,355.6148148,1000.155854,2715.422385
JY216,JY216,182.9182814,333.6202851,233.442623
JY248,JY248,NA,NA,NA
JY054,JY054,1930.532658,3013.371035,5372.491485
UI11-00035,UI11-00035,1230.200331,899.1819783,2799.966388
JY049,JY049,4033.365971,4546.009614,5501.977552
RU2012-113,RU2012-113,NA,7.64,NA
JY237,JY237,3.28,60.59,259.3253325
RU2012-060,RU2012-060,16.4,85.98865435,42.68163804
KMS341,KMS341,1015.730054,973.001959,3106.775937
JY279,JY279,518.7126674,768.4945891,2160.300811
JY118-1,JY118-1,3282.681762,2856.512647,4730.628308
KMS358,KMS358,389.3435683,489.984786,2375.831874
RU2012-072,RU2012-072,NA,10.67,37.60711931
KMS388,KMS388,197.7231391,354.7629327,1124.518072
JY283,JY283,200.2671249,700.0473032,1486.890307
JPN-2010-004,JPN-2010-004,781.3510079,347.3114483,1201.333333
JY082,JY082,4036.768357,7806.134546,5136.74226
KMS269,KMS269,844.8424755,661.4359699,2072.609128
RU2012-066,RU2012-066,22.26,84.88151238,28.60313316
RU2012-056.2 (2x),RU2012-056.2 (2x),NA,9.8,233.8718137
RU2012-112,RU2012-112,NA,NA,NA
KMS350,KMS350,1163.839097,1405.822199,1783.943882
JMTomato(N24),JMTomato(N24),930.8120438,1717.214957,2411.36703
JM2014-H-12,JM2014-H-12,277.8519983,249.2010248,304.6645935
KMS437,KMS437,690.6658149,785.9023063,1794.970487
JY114,JY114,5059.006531,6214.625749,7507.535519
KMS401,KMS401,708.8655503,1392.495012,2632.856816
JY286,JY286,332.2310199,398.7682125,865.4181558
KMS402,KMS402,1156.241619,1955.346092,3777.290974
JY181,JY181,404.7309101,1052.950384,2113.042417
JY147,JY147,297.4932571,448.4983228,664.2357704
JY059,JY059,6050.834696,9830.116272,11592.42875
JM2014-H-11,JM2014-H-11,1108.500169,494.9885208,1662.259211
KMS275,KMS275,1227.430932,1347.2811,3315.22673
JPN-2010-009,JPN-2010-009,1158.344315,584.7442681,1818.037876
JY274,JY274,NA,NA,NA
KMS331,KMS331,1602.389241,2735.541352,4496.248069
JM2014-K-10,JM2014-K-10,2586.866036,3655.715425,6208.896062
RU2012-048,RU2012-048,19.42,94.06994601,131.8610161
JY091,JY091,3443.209187,3555.358561,6078.973579
KMS403,KMS403,1088.792548,699.5945831,1870.384743
M. sacchariflorus 'Golf Course 2x'-UI11-00006,UI11-00006,181.5546888,251.0217875,159.9027208
JY214,JY214,18.33306931,323.0788277,766.9486331
JY259,JY259,12.34,85.24223919,287.9872713
M. sacchariflorus 'Golf Course 4x'-UI11-00007,UI11-00007,NA,11.46,324.8793103
JY282,JY282,1172.315149,871.4226626,1422.158273
JY019,JY019,5070.720639,5250.835008,7185.866646
KMS409,KMS409,787.0599555,915.0402011,1729.302438
JY027,JY027,1108.155346,2928.991296,316.9195116
KMS399,KMS399,1016.195671,1329.458496,245.5543152
KMS423,KMS423,836.8921191,1154.312321,2291.709464
JM2014-H-78,JM2014-H-78,1289.577564,1739.133159,3329.091392
JPN-2011-005,JPN-2011-005,1916.486799,2499.776481,4344.761382
RU2012-073,RU2012-073,2.5,79.10528905,23.92771084
JY294,JY294,467.4473906,424.10696,884.6150257
JY004,JY004,2111.318242,4363.689519,3738.320334
JY229,JY229,157.2981795,188.7983774,247.2247498
JY149,JY149,1317.075513,1428.7181,2428.148241
JY177,JY177,723.4380793,1169.793856,1979.811192
JY219,JY219,333.9580813,603.2614265,616.6245516
JY211,JY211,309.352518,661.0986222,527.1934077
JY173,JY173,878.0863859,1597.506356,3093.71183
JY243,JY243,19.48,161.614727,487.1514292
JY106,JY106,5483.294969,7136.948022,6483.71467
JY023,JY023,3403.288189,8124.495235,11705.36174
RU2012-052,RU2012-052,14.37,37.56,73.30530741
RU2012-067,RU2012-067,NA,10.04,55.28676022
KMS366,KMS366,1445.963608,2918.738366,4519.823338
JMKamisho(N24),JMKamisho(N24),287.8477126,391.6913975,462.1259712
JY193,JY193,487.4082739,776.8101234,1800.153152
JM2014-H-52,JM2014-H-52,449.5938294,373.2409947,416.2697791
KMS369,KMS369,823.6640212,759.0393742,1998.565137
RU2012-147,RU2012-147,79.89032544,250.7557461,517.7551718
JY297,JY297,328.8089365,647.8867705,850.4201681
JY141,JY141,1126.568076,1099.017955,2319.796077
RU2012-050,RU2012-050,8.86,23.71,153.2159783
M. sacchariflorus 'Hortico'-UI10-00008,UI10-00008,NA,41.98,191.9055783
KMS278,KMS278,596.6270626,762.0954507,1168.303339
JPN-2011-006,JPN-2011-006,2271.3338,2822.443091,4361.086273
JY244,JY244,5.16,17.82,241.6346681
JY156,JY156,467.0002438,922.059122,2012.395855
UI11-00031,UI11-00031,3432.845856,NA,8868.867541
JM2014-S-5,JM2014-S-5,1381.650407,3439.128893,3618.348624
JPN-2011-010,JPN-2011-010,597.2060898,551.6546822,1255.516828
RU2012-029,RU2012-029,2.95,18.14,124.9565637
RU2012-040,RU2012-040,124.0206749,171.9025619,492.7430009
RU2012-189,RU2012-189,186.3754547,403.3843151,251.2650865
JM2014-S-4,JM2014-S-4,3555.68304,2437.748152,5483.87752
KMS382,KMS382,999.867041,856.6837872,1286.754675
KMS265,KMS265,640.7215998,535.2031095,1392.670968
JY096,JY096,4896.958119,5824.857526,6906.809353
RU2012-078,RU2012-078,235.7392514,492.8056253,399.4493023
JM2014-H-4,JM2014-H-4,316.9224885,599.7022855,696.4254322
JY245,JY245,NA,190.3368592,835.5462185
KMS302,KMS302,543.1545308,820.6130444,1832.461583
JM2014-H-51,JM2014-H-51,497.8278594,423.4739604,738.669127
JM2014-H-42,JM2014-H-42,NA,324.242872,537.0415351
JY024,JY024,6109.073567,6101.551753,9677.226737
JPN-2011-015,JPN-2011-015,2996.883458,2971.195122,2328.931716
JM2014-S-2,JM2014-S-2,609.9990065,5456.550483,4287.682672
RU2012-102,RU2012-102,95.21625917,248.7651077,65.89494814
RU2012-195,RU2012-195,111.2546863,519.6661851,455.2496434
JY253,JY253,108.5898424,433.6144555,348.4255319
JY249,JY249,169.517757,170.3599559,352.7072442
RU2012-100,RU2012-100,123.0926061,97.79382126,154.0906628
JY128,JY128,704.9028791,765.0299568,759.3240797
JY209,JY209,142.0428005,313.1732177,702.9814893
JY190,JY190,92.16882266,355.0954681,407.5270252
JM11-013,JM11-013,2819.07802,3792.830891,5425.33104
RU2012-131,RU2012-131,28.09,2312.297619,134.8611406
RU2012-168,RU2012-168,5.85,NA,NA
JY051,JY051,3658.714989,5037.250586,5802.013423
JM2014-H-41,JM2014-H-41,333.1498324,632.5412518,616.2749111
JY262,JY262,34.74,300.6651213,511.3135915
RU2012-056.1WD (4x),RU2012-056.1WD (4x),6.65,64.66,102.0909354
RU2012-162,RU2012-162,20.7,71.87,378.4700802
JY143,JY143,NA,724.0321958,587.1469101
JPN-2011-023,JPN-2011-023,1842.646401,2069.93557,2025.405061
JY217,JY217,396.3146448,305.8195435,641.9645293
JY200,JY200,234.6172051,342.9266907,912.450537
JY221,JY221,161.1442682,318.4690719,284.340176
M. sacchariflorus 'Bluemel'-UI10-00117,UI10-00117,697.4264711,833.5572361,2195.665299
RU2012-121,RU2012-121,NA,29.08,163.3811603
KMS408,KMS408,1387.200021,2315.231561,4268.687892
RU2012-120,RU2012-120,20.58,102.8672925,NA
JM2014-K-7,JM2014-K-7,2927.621379,3536.056942,5149.615813
JY194,JY194,NA,NA,NA
JY015,JY015,2158.284295,3871.941295,2577.614613
JM2014-H-27,JM2014-H-27,379.1793229,662.8537168,626.3975528
JM2014-H-9,JM2014-H-9,846.4137116,472.7016552,560.5085093
JY261,JY261,NA,NA,NA
JM2014-K-6,JM2014-K-6,3543.741912,6417.85033,8308.913434
JY180,JY180,1024.786306,1379.04024,2731.167934
KMS454,KMS454,1037.015824,1135.733225,3033.988439
KMS268,KMS268,1805.548618,3040.856627,2466.979444
RU2012-070,RU2012-070,NA,27.43,135.5985363
JY152,JY152,1117.237064,882.9096626,2846.338517
KMS310,KMS310,579.3694522,719.982092,1186.876367
JY205,JY205,621.6329079,740.9800546,1346.055046
JPN-2011-014,JPN-2011-014,1088.248258,1916.472824,3630.588866
JY055,JY055,2718.571298,4761.035317,7109.935724
RU2012-140,RU2012-140,37.5,134.9493468,223.4705977
JY161,JY161,602.3755756,1611.856166,2393.393502
RU2012-190,RU2012-190,399.3292473,567.0120025,692.4154026
JY280,JY280,NA,80.96,0.676435855
KMS395,KMS395,1639.111543,1578.597258,3516.591339
KMS370,KMS370,379.5670628,598.3159308,1031.468635
KMS347,KMS347,455.9206825,691.0117418,536.3931695
RU2012-047,RU2012-047,186.7597636,504.2530908,215.9317536
JY056,JY056,2939.397418,4804.654221,4611.86747
PMS-076,PMS-076,311.0803363,634.8939489,1561.060177
JY231,JY231,110.3938986,320.1527163,428.0739328
RU2012-211,RU2012-211,22.67,183.9294161,391.1986194
JY223,JY223,174.8643758,586.760011,339.0408567
JY186,JY186,814.8567002,1415.796277,2470.663562
RU2012-079,RU2012-079,37.05,230.6924091,99.02450408
JPN-2011-011,JPN-2011-011,1944.386174,3766.209933,4497.418276
JY068,JY068,2740.710823,5084.311127,6189.627229
JY197,JY197,331.4545107,556.4135016,2089.143324
KMS414,KMS414,86.7430962,928.9313869,1698.332191
JPN-2010-007,JPN-2010-007,521.4446863,778.3372171,705.2856837
RU2012-045,RU2012-045,NA,22.85,260.1740994
KMS375,KMS375,NA,327.3422722,1258.385393
JPN-2010-014,JPN-2010-014,1467.507275,1291.061913,3469.499241
JY210,JY210,107.5514669,214.6406377,312.6035503
KMS410,KMS410,780.080516,1135.281432,2868.745276
JY222,JY222,161.7866552,433.9221968,218.0451624
JY290,JY290,1078.170152,2136.384262,2554.583377
KMS355,KMS355,1229.983666,650.3525774,1053.739739
JY104,JY104,3210.003078,4516.688211,6252.582948
JY292,JY292,757.9005434,1152.3914,1735.183209
KMS379,KMS379,611.4381385,1628.788098,2341.123996
RU2012-181,RU2012-181,267.1801872,622.7621844,70.88517004
KMS330,KMS330,2556.468269,1600.567019,2767.550952
JY090,JY090,3761.422855,5349.053804,6559.471074
JPN-2010-008,JPN-2010-008,811.5384044,625.0825147,1166.700242
JPN-2011-004,JPN-2011-004,2042.793756,800.0406104,2789.82208
KMS438,KMS438,816.5346656,954.2780941,1656.778603
JM2014-K-2,JM2014-K-2,NA,1249.467344,2155.105232
UI11-00038,UI11-00038,1959.962593,1416.573523,3634.86166
RU2012-144,RU2012-144,106.0525452,258.2956159,372.6642772
JY183,JY183,1706.304126,1803.228479,2793.168067
KMS466,KMS466,1853.794377,887.5279353,2375.579555
KMS397,KMS397,622.1185766,702.9484193,2637.887182
KMS435,KMS435,934.6973466,1700.41123,1851.967011
JY218,JY218,175.050891,668.0780735,778.3484466
JY213,JY213,129.6821009,346.2442272,227.2604328
KMS323,KMS323,1256.645443,1872.528657,3305.855282
KMS256,KMS256,932.2972664,729.3249461,2436.133634
KMS346,KMS346,846.3348094,1096.376385,3454.839243
JM2014-M-3,JM2014-M-3,2033.982508,929.8185394,1993.601085
JY230,JY230,176.9643226,472.4582813,347.3580571
RU2012-092,RU2012-092,18.07,923.906945,159.2907277
JM2014-H-46,JM2014-H-46,388.2298747,399.5176837,453.9730692
JY163,JY163,933.2299235,1314.479585,1942.174169
JY108,JY108,2120.408899,4603.501914,3696.805476
JY018,JY018,1533.253948,1945.293561,2801.376936
KMS356,KMS356,429.8712912,475.5598324,1051.689234
RU2012-074,RU2012-074,NA,NA,NA
KMS259,KMS259,1487.676304,1364.974789,2738.237269
JY126,JY126,3007.144283,4913.842171,5619.74581
KMS351,KMS351,455.8010376,220.2414689,1114.944175
KMS420,KMS420,862.0114396,711.8116791,2018.047913
JY022,JY022,3866.709183,5801.776681,9529.206799
JM2014-K-15,JM2014-K-15,3744.939686,4183.277166,5321.566633
JMKikuchi 1(N24),JMKikuchi 1(N24),2856.985736,3650.659438,6290.092388
KMS434,KMS434,160.3627466,334.0150722,1072.11205
JY007,JY007,1942.631803,3030.539943,6133.366821
JY238,JY238,14.8,54.2,161.4301962
JY150,JY150,1318.489893,930.3248566,2749.181554
JY196,JY196,587.3070382,323.4863513,1371.978852
KMS411,KMS411,881.3483834,746.5223221,1560.061649
RU2012-072,RU2012-072,NA,NA,NA
JY287,JY287,1216.431429,1663.871206,2677.43046
JY242,JY242,770.0653104,500.9119674,671.7088734
JM2014-H-23,JM2014-H-23,963.7162067,1120.35,2817.817811
KMS360,KMS360,1201.273471,1359.377079,2719.319648
JM2014-H-7,JM2014-H-7,481.3294331,443.1518152,617.9886384
JY202,JY202,481.9504338,369.7218621,952.7526686
JY105,JY105,4520.324044,6711.269636,9638.314755
KMS373,KMS373,501.2680031,448.543542,948.9194625
JY070,JY070,3268.489774,6364.481523,4539.208443
RU2012-062,RU2012-062,NA,NA,NA
JM2014-H-76,JM2014-H-76,475.7370505,429.6321979,529.6671677
JM2014-H-28,JM2014-H-28,NA,315.77488,411.3097569
JY148,JY148,188.7185644,494.1733755,815.6396338
RU2012-038,RU2012-038,15.37,115.8874813,218.7898504
RU2012-031,RU2012-031,11.4,46.47,154.5563344
JY268,JY268,NA,NA,NA
KMS392,KMS392,1282.40301,733.1606787,1711.620737
RU2012-136,RU2012-136,12.99,126.2826932,179.7963665
KMS441,KMS441,2288.544677,1343.423497,2817.974606
RU2012-074,RU2012-074,23.28,107.6252471,219.8627259
JPN-2010-012,JPN-2010-012,769.497834,713.9877639,1497.283987
RU2012-169,RU2012-169,139.0513298,382.5832732,414.9980395
JY171,JY171,2731.437297,2375.701477,4507.827834
JY207,JY207,189.9657498,338.2471275,415.5016808
JY001,JY001,3683.663852,3275.669527,3428.618761
JY053,JY053,4147.774748,7051.43149,12204.51897
JM2014-H-43,JM2014-H-43,750.3293498,349.0083909,464.1394943
JY123,JY123,444.8388535,2348.166577,4046.608905
KMS348,KMS348,3041.957586,1325.953279,1782.641919
JY025,JY025,3932.544356,6240.342629,10015.68372
RU2012-156,RU2012-156,127.3548289,320.3037721,657.4684475
KMS362,KMS362,360.3095827,442.2286628,1350.369033
KMS405,KMS405,113.2990259,763.4408437,1384.144915
KMS354,KMS354,277.2950378,1044.722144,3985.714286
JPN-2011-025,JPN-2011-025,2825.252886,3609.117601,5116.793072
JM2014-H-29,JM2014-H-29,1042.494526,474.2919763,775.0389312
RU2012-086,RU2012-086,14.3,30.18,252.7401352
RU2012-163,RU2012-163,110.9781022,60.83,130.4831093
JY289,JY289,756.3972966,1371.489136,3152.240457
KMS001,KMS001,333.5194045,597.0497469,1385.0528
JY187,JY187,88.56341243,453.5833998,626.2406675
RU2012-159,RU2012-159,37.42118093,180.9419957,162.8935831
JPN-2010-013,JPN-2010-013,2808.019692,1516.289699,3115.630885
JY258,JY258,178.0684996,370.0117182,550.4595588
KMS264,KMS264,938.2182924,1020.521691,1550.154578
RU2012-174,RU2012-174,204.9660199,700.4845263,430.5253305
