Entry,Accession,Biomass.Yield.dry.weight.2016,Biomass.Yield.dry.weight.2017,Biomass.Yield.dry.weight.2018
JY001,JY001,47,168,146.96
JMNaganuma(FSC),JMNaganuma(FSC),41,125,127.81
JM2014-H-41,JM2014-H-41,12,51,72.92
RU2012-194,RU2012-194,11,42,16.1
RU2012-062,RU2012-062,18,53,8.33
JPN-2010-010,JPN-2010-010,62,215,172.79
JM2014-M-14,JM2014-M-14,54,189,185.25
RU2012-114,RU2012-114,22,78,241.56
RU2012-068,RU2012-068,26,NA,83.06
RU2012-081,RU2012-081,21,87,19.55
RU2012-199,RU2012-199,14,40,40.3
RU2012-061,RU2012-061,26,85,8.34
JY175,JY175,45,130,352.47
JY297,JY297,19,68,137.31
JM2014-H-57,JM2014-H-57,52,144,212.61
KMS311,KMS311,21,85,128.79
JY274,JY274,24,85,58.27
KMS397,KMS397,14,54,40
JPN-2011-010,JPN-2011-010,18,53,132.09
KMS409,KMS409,85,277,255.23
JPN-2010-008,JPN-2010-008,46,161,177.62
JM2014-M-10,JM2014-M-10,54,NA,161.68
JY039,JY039,97,326,217.12
JY231,JY231,20,81,106.48
JPN-2011-025,JPN-2011-025,NA,NA,NA
RU2012-067,RU2012-067,20,89,93.19
JY123,JY123,NA,NA,28.41
JY045,JY045,15,61,158.7
JM2014-K-13,JM2014-K-13,43,111,171.02
KMS448,KMS448,67,195,631.84
JY279,JY279,51,187,83.1
RU2012-190,RU2012-190,25,72,157.4
JY137,JY137,116,375,469.76
RU2012-076,RU2012-076,53,171,142.84
JM2014-H-2,JM2014-H-2,109,352,142.2
JY295,JY295,11,45,86.57
JPN-2011-016,JPN-2011-016,100,290,277.31
JY142,JY142,20,87,95.51
JY255,JY255,108,333,184.04
JY222,JY222,21,69,148.13
JM2014-H-14,JM2014-H-14,26,75,103.95
RU2012-028,RU2012-028,11,52,37.15
JY176,JY176,19,84,152.68
JY200,JY200,54,150,143.34
M. sacchariflorus 'Gotemba Gold'-UI11-00005,UI11-00005,13,45,19.16
KMS272,KMS272,15,61,112.19
JY066,JY066,89,287,89.94
RU2012-124,RU2012-124,16,53,45.42
JY127,JY127,11,53,48.26
JY168,JY168,42,171,293.53
JY104,JY104,104,301,125.41
RU2012-030,RU2012-030,9,41,28.41
RU2012-059,RU2012-059,13,42,4.19
RU2012-109,RU2012-109,14,57,8.41
RU2012-200,RU2012-200,52,176,149.79
RU2012-029,RU2012-029,14,61,68.77
JM2014-H-76,JM2014-H-76,46,157,280.11
JM2014-H-49,JM2014-H-49,86,289,162.53
RU2012-093,RU2012-093,8,41,99.22
KMS001,KMS001,41,149,167.17
JM11-019,JM11-019,95,269,492.59
JY150,JY150,47,168,207.51
RU2012-143,RU2012-143,9,45,48.11
RU2012-137,RU2012-137,9,31,68.08
JPN-2011-020,JPN-2011-020,66,236,300.01
JM2014-H-68,JM2014-H-68,56,192,347.53
RU2012-088,RU2012-088,54,168,365.47
RU2012-110,RU2012-110,42,132,307.36
JPN-2011-011,JPN-2011-011,48,142,347.76
KMS393,KMS393,22,88,205.1
KMS399,KMS399,21,69,166.51
JY103,JY103,55,169,108.82
JY277,JY277,53,174,603.44
RU2012-197,RU2012-197,19,61,67.61
RU2012-040,RU2012-040,11,55,50.91
KMS418,KMS418,118,385,399.81
JPN-2011-012,JPN-2011-012,99,275,365.19
KMS422,KMS422,102,324,1588.37
JY014,JY014,12,58,NA
RU2012-161,RU2012-161,51,172,321.13
RU2012-043,RU2012-043,42,158,186.47
UI11-00031,UI11-00031,145,444,200.1
JY051,JY051,59,191,269.19
JM2014-M-1,JM2014-M-1,94,279,257.94
JY054,JY054,25,76,127.4
JY050,JY050,15,46,76.92
RU2012-144,RU2012-144,12,48,113.72
JY133,JY133,17,71,193.39
KMS359,KMS359,48,168,705.59
JPN-2011-019,JPN-2011-019,53,167,232
KMS450,KMS450,47,138,211.5
JY088,JY088,51,175,234.11
KMS349,KMS349,44,119,318.02
JY009,JY009,98,268,106.82
JM2014-S-5,JM2014-S-5,46,158,133.5
JY212,JY212,57,201,239.45
RU2012-084,RU2012-084,23,89,194.04
JM2014-H-56,JM2014-H-56,45,165,452.87
JPN-2011-015,JPN-2011-015,23,78,198.33
KMS436,KMS436,19,65,367.48
